Run Number, Maximum X, Frame Reached
0,5025,3484
10,5025,3534
20,4850,4998
30,4355,2706
40,4355,2810
50,4354,2307
60,4354,2326
70,4354,2707
80,4354,4657
90,4036,2015
92,2692,1478
41,2692,1602
98,2691,1264
4,2691,1381
51,2691,1413
61,2691,1422
7,2691,1424
32,2691,1483
45,2691,1492
46,2691,1546
44,2691,1582
66,2691,1627
79,2691,1682
91,2690,1377
29,2690,1445
36,2690,1518
33,2690,1522
97,2202,1062
78,2201,1112
63,2201,1477
93,2200,1067
54,2200,1104
39,2200,1272
56,2199,1097
89,2198,1074
31,2188,1312
62,1824,936
35,1823,1007
34,1776,1043
1,1768,1076
2,1652,1036
3,518,281
18,509,280
49,509,280
19,502,283
94,501,245
82,488,258
26,474,236
81,471,254
8,457,253
13,457,253
38,456,239
95,455,225
9,451,244
58,436,223
14,436,247
27,434,217
22,434,219
52,434,223
71,428,219
21,427,219
5,421,234
84,416,220
6,404,231
25,394,203
74,393,203
85,393,203
75,393,205
83,393,205
88,393,205
73,393,207
15,393,217
48,393,225
96,392,195
57,392,203
28,392,205
72,392,205
24,392,207
59,392,207
77,392,207
11,392,221
37,392,223
12,392,227
99,391,197
23,391,199
55,391,205
67,391,207
87,391,207
86,391,209
69,391,211
43,391,217
16,391,223
76,390,203
53,390,205
65,390,213
64,390,215
17,390,219
68,390,219
47,390,221
42,390,227
