Run Number, Maximum X, Frame Reached
0,5025,3484
10,5025,3534
20,5025,3653
30,5024,3320
40,4850,4998
50,4356,2426
60,4355,2706
70,4355,2810
80,4354,2307
90,4354,2326
86,4036,2074
66,4035,2134
99,4034,2156
43,3696,4999
7,2692,1379
92,2692,1409
25,2692,1627
33,2691,1265
91,2691,1401
37,2691,1412
38,2691,1482
89,2691,1484
45,2691,1508
34,2691,1606
58,2691,1637
76,2691,1708
46,2691,4503
94,2690,1359
96,2690,1440
9,2690,1444
47,2690,1505
72,2690,1508
74,2690,1525
16,2690,1610
51,2690,1743
71,2200,1278
93,2200,1330
61,2198,1127
5,2198,1425
62,2196,1142
98,2193,1225
41,1775,968
85,1770,934
97,1657,855
65,521,282
19,512,280
4,505,285
17,502,259
39,490,249
6,488,262
63,487,263
18,473,262
28,472,288
22,456,257
11,455,259
54,441,234
8,441,235
12,441,280
82,440,222
49,438,221
44,436,219
55,435,229
88,429,223
59,422,227
2,422,240
52,420,228
35,410,212
83,406,208
32,394,203
56,394,219
77,394,221
73,394,223
75,394,225
27,394,231
24,394,233
87,393,203
79,393,221
21,393,229
68,393,233
81,392,197
84,392,203
36,392,207
95,392,215
57,392,219
78,392,221
31,391,207
13,391,211
69,391,217
64,391,221
14,391,223
53,391,227
48,390,205
42,390,213
67,390,217
3,390,221
15,390,221
1,389,217
29,389,227
26,389,229
23,389,231
