Run Number, Maximum X, Frame Reached
0,5025,3308
10,5025,3381
20,5025,3484
30,5025,3534
40,5025,3653
50,5025,3681
60,5024,3206
70,5024,3320
80,4886,4997
90,4851,4997
77,2691,1407
72,2691,1413
1,2691,1446
64,2691,1522
89,2691,1540
88,2691,1701
97,2690,1598
27,2690,1644
83,2690,1646
11,2690,1661
86,2690,1678
13,2690,1746
28,2690,1829
71,2197,1386
23,2196,1363
33,2193,1330
42,2192,1173
46,2186,1170
79,2186,1187
69,2179,1267
41,2174,1266
82,1820,1103
96,1820,1104
99,1656,832
58,1333,729
2,519,280
15,514,298
24,512,285
75,508,260
67,506,281
17,504,297
12,500,306
6,499,280
61,499,281
74,488,251
93,488,253
56,487,294
14,487,298
91,486,249
52,485,286
35,481,282
7,478,280
51,476,282
37,473,264
31,470,266
57,467,281
48,466,270
87,463,279
16,460,269
32,457,269
63,456,239
21,456,253
19,456,265
55,455,283
22,438,239
65,431,247
94,430,219
36,428,259
66,426,237
78,425,223
68,422,233
45,420,246
85,420,250
76,403,209
53,401,233
38,400,233
29,395,221
84,394,227
62,393,211
34,393,217
3,393,237
73,392,209
25,392,215
39,392,221
18,392,229
92,391,207
5,391,229
4,391,231
98,390,203
95,390,207
43,390,223
44,390,223
81,390,235
54,390,237
9,389,219
26,389,221
8,389,233
59,389,247
47,388,231
49,386,235
