Run Number, Maximum X, Frame Reached
0,5027,3299
10,5026,3618
20,5025,3087
30,5025,3258
40,5025,3308
50,5025,3381
60,5025,3484
70,5025,3534
80,5025,3560
90,5025,3574
98,4354,3292
44,2693,1814
4,2691,1508
89,2691,1599
48,2691,1642
39,2691,1809
55,2690,1373
63,2690,1494
77,2690,1520
3,2690,1533
5,2690,1595
91,2690,1838
35,2690,1905
46,2202,1453
42,2198,1211
97,2194,1491
12,2189,1588
79,2187,1301
33,1793,1038
68,1764,991
13,1655,998
65,1654,1040
69,1336,841
15,1303,789
58,520,298
86,519,281
61,518,286
87,518,312
49,513,281
59,509,298
45,504,278
71,503,279
31,503,311
1,502,286
64,501,285
52,497,297
78,495,277
18,495,291
43,490,286
6,487,286
99,485,311
21,483,282
56,482,298
24,479,280
8,477,286
26,476,280
25,474,278
23,473,274
73,472,268
51,472,279
54,472,297
47,470,279
83,470,279
32,469,286
85,461,281
9,454,247
95,447,277
53,440,279
19,437,248
57,436,281
37,435,288
74,433,261
82,433,263
34,428,306
41,424,255
76,420,242
66,419,228
36,417,265
38,414,279
84,413,280
17,407,248
88,394,233
29,394,235
72,393,215
75,393,221
7,392,219
2,392,229
22,392,229
27,392,231
16,392,233
28,392,237
67,391,217
62,391,219
81,391,231
96,391,231
93,390,239
11,389,235
94,389,239
14,386,235
92,384,239
