Run Number, Maximum X, Frame Reached
0,5026,3618
10,5025,3087
20,5025,3258
30,5025,3308
40,5025,3381
50,5025,3484
60,5025,3534
70,5025,3560
80,5025,3653
90,5025,3677
59,4035,2253
14,2692,1573
15,2692,1649
84,2691,1438
58,2691,1508
57,2691,1526
21,2691,1670
52,2691,1695
6,2691,1707
5,2691,1739
23,2691,4938
67,2690,1508
35,2690,1526
27,2690,1554
3,2690,1658
55,2690,1712
22,2690,1716
76,2202,1269
43,2189,1387
36,2188,1298
28,2170,1441
37,2165,1286
65,1821,1114
54,1758,1116
81,511,282
71,507,279
41,507,300
88,491,279
46,488,287
94,487,281
8,485,280
89,485,282
73,478,280
13,477,280
45,476,310
48,475,298
42,473,283
39,471,279
44,471,296
66,469,270
98,469,280
69,468,261
17,461,279
61,460,279
75,459,279
32,458,263
63,457,263
38,455,253
25,452,285
24,451,279
68,446,260
92,443,280
26,439,252
18,438,268
33,437,250
87,436,262
29,436,288
31,435,263
82,433,263
99,428,283
77,427,281
49,424,253
51,423,241
91,417,254
72,413,262
95,410,266
96,400,279
12,393,235
19,393,235
53,392,209
62,392,223
4,392,233
86,392,233
11,392,237
56,391,229
78,391,233
83,391,235
93,391,251
64,390,219
79,390,233
1,390,235
97,390,235
74,390,237
2,390,253
47,389,239
34,388,235
85,388,237
9,387,227
7,387,235
16,387,237
