Run Number, Maximum X, Frame Reached
0,5026,3618
10,5025,3087
20,5025,3258
30,5025,3308
40,5025,3381
50,5025,3484
60,5025,3534
70,5025,3560
80,5025,3653
90,5025,3677
44,4034,2693
27,2691,1499
63,2691,1527
7,2691,1528
68,2691,1529
22,2691,1573
82,2691,1583
47,2691,1656
83,2691,1700
49,2691,1752
89,2690,1509
86,2690,1576
58,2690,1584
48,2690,1622
3,2690,1736
93,2690,1890
64,2196,1164
33,2191,1328
26,2188,1279
32,2172,1271
56,1823,984
65,1821,1116
4,511,287
34,505,279
38,503,278
35,502,291
67,501,279
2,499,287
6,491,279
43,490,275
66,488,280
14,486,277
45,485,300
71,482,280
41,481,298
99,481,314
17,477,280
25,477,282
62,474,264
11,473,278
37,471,280
75,471,281
95,470,280
23,467,286
72,455,271
98,455,271
91,455,275
79,454,280
28,454,285
21,452,283
94,446,264
46,441,266
92,441,280
61,438,238
12,436,248
52,430,237
57,429,239
24,415,244
78,410,262
59,405,221
97,399,263
31,394,227
53,393,217
85,393,235
51,392,221
55,392,227
77,392,233
73,392,235
88,392,235
76,392,239
84,391,229
36,391,231
8,391,233
18,391,233
19,391,233
42,391,237
29,391,239
54,390,217
39,390,223
69,390,223
5,390,225
87,390,229
96,390,233
15,390,239
16,389,231
1,389,233
81,389,233
13,389,235
74,388,229
9,386,233
