Run Number, Maximum X, Frame Reached
0,5027,3299
10,5026,3618
20,5025,3087
30,5025,3258
40,5025,3308
50,5025,3381
60,5025,3484
70,5025,3534
80,5025,3560
13,5025,3574
90,5025,3653
49,4036,2442
29,4034,2470
65,2692,1489
33,2692,1670
5,2691,1584
62,2691,1594
43,2691,1674
39,2691,1679
15,2691,1731
73,2690,1554
74,2690,1557
6,2690,1586
3,2690,1589
38,2690,1593
23,2690,1669
2,2690,1714
35,2690,1940
89,2196,1559
12,2194,1488
63,2193,1165
82,2181,1560
46,1825,955
44,1822,1000
94,518,312
42,517,282
9,512,285
53,511,300
52,510,299
47,509,281
4,509,286
32,507,311
61,498,286
69,497,285
54,496,298
7,494,285
59,489,293
24,487,280
8,486,285
86,484,289
21,480,282
41,478,282
81,473,272
27,472,287
56,470,295
34,469,288
85,466,279
77,464,279
55,462,297
37,457,273
1,456,249
68,456,251
57,455,259
17,453,267
36,452,273
64,451,248
84,439,270
31,433,270
19,431,266
58,429,279
71,423,244
88,417,262
96,415,234
87,409,234
93,407,262
67,400,237
45,394,221
48,394,221
78,393,213
75,392,221
91,392,225
83,392,231
92,392,231
25,392,233
26,392,237
51,392,239
79,391,221
72,391,223
66,391,227
11,391,229
22,391,245
14,390,229
16,390,229
97,390,231
99,390,233
28,390,237
76,389,213
18,389,219
95,389,219
98,389,233
