Run Number, Maximum X, Frame Reached
0,5025,3308
10,5025,3381
20,5025,3484
30,5025,3534
40,5025,3653
50,5025,3681
60,5024,3206
70,5024,3320
80,4886,4997
90,4851,4997
32,4035,2254
77,4034,2185
43,3668,2483
41,2692,1561
73,2691,1476
36,2691,1512
38,2691,1560
19,2691,1647
26,2691,1691
51,2691,1714
48,2690,1485
25,2690,1532
91,2690,1593
45,2690,1610
16,2690,1640
46,2690,1671
63,2202,1331
99,2200,1340
84,2199,1337
28,2199,1362
66,2197,1201
34,2197,1328
29,2191,1628
71,2186,1350
78,1803,860
88,1656,1278
27,518,286
64,517,280
62,513,280
1,509,281
93,506,260
18,506,298
68,505,280
14,504,297
65,503,280
15,503,292
33,502,272
52,501,280
17,501,291
11,501,297
61,499,279
23,496,283
6,489,261
72,487,258
42,487,283
56,486,294
55,486,311
13,478,298
69,477,258
83,472,279
2,471,285
47,454,261
82,454,283
5,445,262
22,441,252
24,431,235
59,428,249
54,426,243
67,425,231
37,415,236
58,414,238
85,412,262
39,408,252
94,403,218
21,401,223
96,395,203
92,394,201
98,394,205
74,394,209
97,393,205
87,393,223
89,393,227
49,393,233
57,393,233
3,393,235
76,392,205
79,392,207
81,392,229
9,392,233
7,391,219
8,391,219
95,390,203
75,390,205
35,390,221
86,390,235
53,390,245
31,389,219
4,389,235
44,389,235
12,389,245
