Run Number, Maximum X, Frame Reached
0,5027,3299
10,5026,3618
20,5025,3087
30,5025,3258
40,5025,3308
50,5025,3381
60,5025,3484
70,5025,3534
80,5025,3560
90,5025,3653
65,4036,2222
51,4035,2594
76,2691,1432
55,2691,1555
13,2691,1581
67,2691,1584
12,2690,1745
86,2202,1483
1,2197,1066
85,2196,1248
11,2195,1486
5,2191,1589
25,2185,1292
69,2183,1271
87,1820,1008
29,1815,1101
31,1346,984
22,1301,766
63,518,285
2,516,286
7,505,285
56,503,300
4,502,286
71,497,281
94,495,281
37,494,311
53,490,298
79,487,267
54,487,298
72,486,265
9,486,285
58,485,298
95,484,287
15,483,280
24,483,280
52,483,280
44,479,270
74,479,280
35,477,312
34,476,312
75,471,258
32,471,284
59,471,297
68,470,248
82,467,279
57,464,269
28,463,279
23,463,281
77,459,257
96,456,249
89,444,280
42,441,250
98,438,248
39,434,276
33,431,259
46,425,245
38,424,244
91,421,247
16,421,253
17,413,246
66,402,227
8,394,231
27,393,231
21,393,235
48,393,237
73,393,237
3,392,221
49,392,231
97,392,233
26,392,235
6,391,221
88,391,229
43,391,231
81,391,231
84,391,231
14,391,235
83,391,237
62,390,215
78,390,215
41,390,227
36,390,231
45,390,231
92,390,231
64,389,219
61,389,223
47,389,225
93,389,235
99,388,235
18,387,235
19,386,239
