Run Number, Maximum X, Frame Reached
0,5026,3618
10,5025,3087
20,5025,3258
30,5025,3308
40,5025,3381
50,5025,3484
60,5025,3534
70,5025,3560
80,5025,3653
90,5025,3677
55,2692,1546
54,2691,1498
53,2691,1502
62,2691,1557
58,2691,1560
69,2691,1594
32,2691,1636
23,2691,1731
72,2691,1939
16,2690,1419
13,2690,1557
57,2690,1567
59,2690,1641
8,2690,1702
99,2690,1789
25,2690,1844
21,2202,1174
92,2199,1446
18,2195,1242
71,2192,1567
39,2163,1276
65,1829,1113
37,1774,1040
45,1655,886
35,520,279
5,518,282
48,516,304
41,514,298
64,508,280
73,504,281
34,500,280
27,494,283
87,492,281
12,489,281
96,489,311
36,488,280
14,486,278
93,483,289
67,481,280
75,473,278
44,471,260
19,471,272
76,471,278
66,471,281
84,465,265
28,465,284
15,457,261
46,457,273
95,455,277
79,454,275
86,451,263
6,449,265
24,449,275
22,446,281
43,439,298
49,438,279
7,432,253
77,426,281
94,424,279
47,423,261
98,421,279
74,409,280
97,404,242
42,403,260
91,398,263
56,394,241
61,393,221
31,393,227
29,393,239
68,392,217
11,392,233
17,392,233
89,392,233
51,391,223
3,391,233
33,391,235
81,391,239
63,390,219
26,390,227
38,390,233
85,390,233
52,389,225
2,389,233
83,389,239
4,388,233
9,388,235
78,388,235
82,387,227
88,387,229
1,385,231
