Run Number, Maximum X, Frame Reached
0,5027,3299
10,5026,3618
20,5025,3087
30,5025,3258
40,5025,3308
50,5025,3381
60,5025,3484
70,5025,3534
80,5025,3560
90,5025,3574
62,4034,2292
66,3671,2477
38,2692,1473
7,2692,1499
84,2691,1514
65,2691,1566
49,2691,1583
28,2691,1588
77,2691,1726
11,2691,1737
59,2691,1751
15,2690,1465
5,2690,1521
79,2690,1531
34,2690,1552
6,2690,1630
1,2690,1765
82,2690,1776
25,2199,1159
23,2199,1279
52,2198,1423
43,2195,1336
85,2191,1594
69,1822,974
3,520,286
71,517,282
58,517,298
33,517,311
8,513,286
74,503,281
19,495,281
56,491,298
73,488,268
87,488,282
21,487,280
51,487,292
12,486,280
2,485,286
55,485,297
57,484,298
42,483,286
46,479,282
67,476,270
48,472,268
78,468,279
44,467,279
45,464,281
41,463,279
47,463,281
81,462,281
54,459,291
64,452,256
17,444,252
35,444,264
36,442,285
76,440,260
88,439,272
68,436,239
61,424,240
37,415,279
4,408,235
75,407,252
53,405,265
31,404,239
9,398,219
99,393,217
24,393,237
72,392,219
27,392,231
92,392,231
97,392,231
94,392,235
95,392,237
96,392,239
26,391,233
29,391,237
22,390,233
14,390,235
86,390,235
39,390,247
63,389,219
91,389,231
83,389,233
93,389,233
89,389,235
32,389,267
18,388,223
98,388,237
16,386,235
13,386,239
