Run Number, Maximum X, Frame Reached
0,5025,3308
10,5025,3381
20,5025,3484
30,5025,3534
40,5025,3653
50,5025,3681
60,5024,3206
70,5024,3320
80,4886,4997
90,4851,4997
92,3636,4999
95,3617,4999
29,2692,1799
91,2691,1384
77,2691,1387
48,2691,1450
86,2691,1526
51,2691,1557
11,2691,1566
23,2691,1589
79,2690,1267
6,2690,1469
39,2690,1609
28,2690,1622
73,2200,1034
44,2198,1500
71,2195,1513
24,2194,1109
68,2193,1444
21,2191,1338
58,2191,1517
59,2150,1267
76,1821,986
25,1816,988
9,505,288
69,503,279
5,503,287
57,498,282
63,498,282
27,496,286
14,488,295
85,486,278
55,485,282
18,485,296
3,484,280
83,482,280
56,481,282
17,475,290
88,473,256
35,472,266
19,472,280
94,471,250
99,470,256
16,468,279
87,463,279
36,460,261
61,456,241
26,454,250
46,447,282
54,446,282
34,445,260
12,444,260
52,443,242
82,443,280
62,438,247
53,437,268
4,435,247
37,435,253
15,432,263
75,431,221
49,428,263
13,427,281
67,425,239
98,424,216
65,423,235
22,421,246
8,408,246
84,398,251
96,394,199
97,393,203
66,393,221
1,393,231
78,392,207
72,392,209
2,392,231
41,392,231
43,392,231
7,392,241
74,391,203
93,391,207
31,391,215
33,391,221
47,391,229
64,391,229
81,391,233
89,391,233
38,390,219
32,389,227
42,389,231
45,388,231
