Run Number, Maximum X, Frame Reached
0,4034,2097
10,2692,1149
20,2692,1228
1,2692,1270
3,2692,1328
30,2692,1336
40,2692,1394
50,2692,1403
60,2692,1404
25,2692,1461
70,2692,1463
12,2691,1153
28,2691,1210
80,2691,1226
90,2691,1302
64,2691,1324
6,2691,1335
47,2691,1380
58,2691,1396
39,2691,1416
8,2691,1514
36,2691,1542
29,2690,1173
9,2690,1263
93,2690,1306
98,2690,1324
37,2690,1337
24,2690,1478
69,2690,1512
96,2690,1550
33,2690,1581
5,2203,1180
23,2202,953
32,2202,1032
19,2202,1062
4,2202,1078
62,2202,1183
56,2202,1217
65,2202,1288
26,2201,892
46,2201,1022
97,2201,1191
67,2200,1069
68,2200,1085
7,2200,1182
76,2200,1191
35,2199,1268
92,2198,1060
66,1824,870
55,1798,846
49,1797,838
74,1796,894
82,1777,916
51,1776,859
42,1775,811
72,1701,936
88,1687,828
85,1686,754
75,1681,772
94,1336,723
86,526,222
45,519,246
57,509,241
17,499,223
52,497,234
14,483,224
73,482,228
77,481,228
89,480,222
13,480,224
91,472,220
44,472,224
83,455,212
2,455,217
53,454,213
81,452,212
95,443,212
27,441,204
54,440,208
15,439,205
99,438,203
84,435,203
63,424,205
59,417,200
61,409,200
18,394,183
21,394,185
71,394,189
11,392,183
41,392,187
87,392,187
31,392,191
34,392,191
22,391,183
43,391,187
48,391,187
78,391,191
16,390,183
79,390,187
38,390,195
