Run Number, Maximum X, Frame Reached
0,5025,3484
10,5025,3534
20,5025,3653
30,5024,3206
40,5024,3320
50,4851,4997
60,4850,4998
70,4356,2426
80,4355,2706
90,4355,2810
51,3493,4998
56,3474,4969
87,2691,1385
85,2691,1479
28,2691,1588
76,2691,1589
58,2691,1670
4,2691,1687
38,2691,1700
73,2691,1722
64,2691,4501
32,2690,1433
74,2690,1434
83,2690,1488
82,2690,1521
77,2690,1562
13,2690,1586
2,2690,1598
55,2690,1729
84,2690,1745
89,2690,1767
7,2201,1170
49,2190,1182
98,1824,929
59,1775,1038
1,522,285
14,516,280
8,516,286
36,514,281
37,511,280
9,511,286
39,509,282
15,505,281
25,505,281
41,503,273
11,503,281
31,494,281
23,492,281
95,489,269
57,487,255
46,473,238
18,473,279
12,457,263
35,454,237
24,452,265
69,444,222
47,435,225
6,430,245
66,428,221
61,427,219
44,426,219
79,425,228
53,421,216
54,421,218
63,410,204
78,408,228
34,406,228
71,406,229
3,404,227
67,394,201
65,394,203
22,394,231
68,393,203
48,393,205
52,393,205
19,393,221
75,393,221
88,393,221
5,393,223
81,393,223
91,393,223
94,393,223
62,392,201
42,392,207
16,392,217
93,392,217
96,392,223
29,392,237
45,391,201
86,391,213
33,391,215
43,390,209
72,390,213
97,390,213
17,390,215
92,390,227
99,390,227
27,390,231
26,389,233
21,389,235
