Run Number, Maximum X, Frame Reached
0,5026,3618
10,5025,3087
20,5025,3258
30,5025,3308
40,5025,3381
50,5025,3484
60,5025,3534
14,5025,3560
70,5025,3653
80,5025,3677
90,5025,3681
65,4355,2825
46,4035,2659
87,4035,3227
69,2692,1549
78,2692,1766
27,2692,1950
52,2691,1502
54,2691,1506
76,2691,1533
72,2691,1550
23,2691,1591
26,2691,1608
3,2691,1629
82,2691,1659
7,2691,1667
22,2691,1816
8,2691,2956
62,2690,1560
59,2690,1582
61,2201,1198
75,2201,1435
97,2201,1442
57,2200,1199
56,2199,1227
16,2197,1273
55,1816,992
17,1816,1103
96,1758,893
4,1655,1109
51,511,290
19,509,280
44,504,295
66,503,274
89,503,294
45,503,301
9,501,279
25,501,313
37,500,279
98,492,291
24,487,280
6,485,279
39,485,286
35,485,288
13,484,280
36,473,294
64,472,266
42,471,286
68,470,264
77,467,278
83,466,288
67,462,261
1,459,281
63,458,269
47,456,281
71,455,277
43,455,279
41,455,285
88,454,280
49,452,267
91,444,280
29,439,266
95,438,264
85,435,263
93,432,281
84,431,263
34,428,247
58,425,246
48,415,280
38,406,247
99,403,246
53,400,217
81,396,263
33,394,231
32,393,221
73,393,229
18,392,231
94,392,233
2,391,227
11,391,235
15,391,235
92,391,235
31,390,233
28,390,237
79,389,229
12,389,235
86,388,223
74,388,229
21,387,235
5,385,233
