Run Number, Maximum X, Frame Reached
54,4034,2097
0,2692,1149
10,2692,1228
92,2692,1336
20,2692,1394
62,2692,1403
30,2692,1404
40,2692,1463
50,2691,1226
60,2691,1302
95,2691,1304
70,2691,1319
80,2691,1326
34,2691,1333
81,2691,1346
39,2691,1378
48,2691,1382
13,2691,1383
90,2691,1407
31,2691,1455
94,2691,1475
36,2691,1499
88,2690,1214
47,2690,1284
72,2690,1365
35,2690,1392
66,2690,1395
7,2690,1439
67,2690,1474
38,2690,1518
25,2690,1558
12,2203,991
1,2202,1111
63,2201,1065
22,2201,1111
21,2201,1152
28,2201,1207
32,2201,1225
18,2200,927
27,2200,1029
51,2200,1065
53,1822,876
65,1799,838
68,1780,895
98,1776,964
49,1773,813
55,1758,765
26,1699,852
24,1688,846
71,1686,842
64,1338,643
75,1337,655
74,1333,657
87,1333,804
58,529,222
23,510,240
59,486,198
46,482,226
41,481,228
5,480,224
8,480,224
3,477,222
52,472,222
69,472,222
42,470,220
43,470,222
45,470,228
85,465,215
56,463,215
73,457,215
61,447,208
29,442,208
4,437,203
14,433,205
16,430,203
11,423,200
97,422,200
57,419,196
99,415,200
6,414,192
91,408,193
37,408,194
19,404,193
44,404,193
77,400,187
2,398,177
82,395,183
76,394,187
78,394,187
84,394,187
86,394,187
15,393,185
83,393,187
93,393,191
17,392,183
79,392,185
96,392,189
33,391,191
89,390,183
9,390,185
