Run Number, Maximum X, Frame Reached
0,5025,3484
10,5025,3534
20,5025,3653
69,5024,3206
30,5024,3320
40,4850,4998
50,4356,2426
60,4355,2706
70,4355,2810
80,4354,2307
90,4354,2326
96,4035,2316
88,4034,2217
42,3532,4999
89,2691,1345
98,2691,1407
33,2691,1419
14,2691,1444
94,2691,1522
77,2691,1581
32,2691,1630
2,2691,1641
3,2691,1645
43,2691,1680
85,2690,1423
65,2690,1436
87,2690,1492
79,2690,1518
73,2690,1547
26,2690,1581
4,2690,1648
52,2690,1650
23,2690,1736
93,2203,1080
81,2203,1187
97,2201,1331
1,2200,1276
72,2200,1288
53,2199,1384
35,2199,1446
63,2198,1184
67,2197,1136
99,2195,1298
74,2195,1452
59,1829,1115
64,1826,965
91,1823,974
68,1821,921
92,1797,897
8,1649,1036
24,512,282
15,495,260
17,490,263
22,489,281
31,488,254
11,488,279
66,472,261
76,470,248
12,454,269
84,440,222
18,439,247
13,426,247
56,422,227
51,422,228
6,417,226
54,416,228
83,408,210
44,393,199
47,393,201
95,393,207
86,393,209
62,393,229
7,393,231
57,392,205
34,392,209
39,392,209
9,392,217
19,392,219
71,392,221
16,392,223
58,392,223
78,392,225
75,392,231
25,392,233
41,391,199
45,391,203
49,391,203
38,391,205
46,391,205
5,391,215
61,391,225
55,391,227
27,391,235
36,390,205
82,390,205
37,390,207
48,390,207
28,390,221
21,390,229
29,388,235
