Run Number, Maximum X, Frame Reached
0,5025,3308
10,5025,3381
20,5025,3484
30,5025,3534
40,5025,3653
50,5025,3681
60,5024,3206
70,5024,3320
80,4886,4997
90,4851,4997
89,4035,2445
91,3130,4999
23,2692,1487
27,2692,1598
51,2692,1829
98,2691,1406
93,2691,1564
29,2691,1651
18,2691,1739
44,2690,1579
97,2690,1627
35,2690,1685
76,2203,1113
47,2200,1062
48,2199,1274
49,2198,1199
57,2198,1361
26,2191,1272
22,2183,1230
68,1826,934
25,1807,1076
21,1745,1206
62,517,281
66,512,281
69,511,280
81,501,281
37,497,279
67,493,279
78,489,252
75,487,256
32,486,263
64,486,279
14,486,298
13,482,298
58,476,282
61,473,250
83,473,278
52,473,284
19,473,290
63,472,259
33,472,260
8,471,279
74,470,244
56,470,279
12,470,298
46,469,262
59,468,280
4,468,281
6,462,279
9,461,279
36,456,267
82,455,279
88,454,278
31,445,258
1,442,248
11,440,264
15,440,280
79,439,221
53,436,279
95,433,219
73,432,225
28,430,231
41,427,263
94,423,218
24,421,247
71,420,216
85,407,242
17,402,249
38,394,219
34,393,227
3,393,231
2,392,221
54,392,225
43,392,227
5,392,235
92,391,201
72,391,205
96,391,205
65,391,215
39,391,217
55,391,237
16,391,241
77,390,203
99,390,207
7,390,227
84,390,231
87,390,231
45,390,233
42,390,237
86,390,239
