Run Number, Maximum X, Frame Reached
0,5026,3618
10,5025,3087
20,5025,3258
30,5025,3308
40,5025,3381
50,5025,3484
60,5025,3534
70,5025,3653
80,5025,3677
90,5025,3681
12,4035,2182
68,4035,2225
28,4035,2770
44,3878,2405
71,2692,1415
18,2692,1471
63,2692,1477
48,2691,1383
45,2691,1497
62,2691,1545
53,2691,1566
67,2691,1597
22,2691,1602
61,2691,1633
4,2691,1739
88,2691,2057
95,2690,1522
76,2690,1523
33,2690,1532
73,2690,1572
35,2690,1619
96,2201,1484
74,2176,1263
52,1823,1174
15,1818,1051
37,1764,1048
54,519,285
42,513,298
27,513,311
65,511,280
75,507,282
41,498,297
85,494,295
58,490,286
36,490,290
66,489,267
31,488,284
2,485,270
38,482,280
14,477,278
34,475,280
17,471,268
23,470,286
39,469,279
46,468,279
49,466,311
87,460,275
64,457,259
72,456,261
47,455,263
32,454,279
29,452,282
97,452,282
24,450,281
92,448,276
81,445,282
26,438,256
84,436,283
82,430,281
89,428,267
86,426,285
8,423,253
91,421,242
99,413,242
21,403,252
56,394,225
57,393,211
69,393,219
59,393,221
78,393,231
51,392,219
77,392,221
16,392,231
55,392,231
5,392,233
19,392,233
1,392,235
11,392,235
13,391,231
93,391,237
98,391,245
94,391,249
7,389,231
9,389,231
43,388,237
79,388,241
25,388,251
3,387,237
83,386,243
6,385,231
