Run Number, Maximum X, Frame Reached
0,5025,3308
10,5025,3381
20,5025,3484
30,5025,3534
40,5025,3653
50,5025,3681
60,5024,3206
70,5024,3320
80,4886,4997
90,4851,4997
52,4036,2317
22,4035,2173
49,4035,2328
29,4035,2631
96,3489,4999
26,2692,1731
95,2691,1412
21,2691,1557
27,2691,1588
32,2691,1611
42,2691,1802
25,2690,1557
23,2690,1562
24,2690,1592
56,2690,1610
88,2690,1635
9,2690,1740
1,2690,1834
86,2690,1867
44,2190,1165
36,2183,1294
97,1339,920
51,507,311
91,506,258
61,505,281
15,505,299
74,504,254
3,503,280
31,503,280
79,502,261
84,499,278
18,499,298
54,495,312
12,494,282
11,491,298
34,489,266
38,488,264
16,483,298
87,482,278
68,479,280
2,472,282
37,472,288
8,470,262
67,468,279
89,466,279
65,462,263
69,456,267
17,456,271
35,455,253
28,452,247
46,447,262
82,443,278
85,442,278
66,439,248
59,438,278
19,432,271
94,427,219
64,426,233
72,417,220
53,413,252
55,410,238
57,404,244
93,394,205
78,394,207
62,394,239
99,393,203
98,393,205
76,393,209
77,393,209
48,393,235
73,392,203
39,392,219
43,392,231
13,392,233
83,392,233
75,391,205
5,391,225
7,391,229
4,391,251
92,390,203
71,390,209
33,390,217
6,390,221
58,390,227
41,390,231
63,390,233
81,390,233
45,389,235
14,389,249
47,388,231
