Run Number, Maximum X, Frame Reached
0,5026,3618
10,5025,3087
20,5025,3258
30,5025,3308
40,5025,3381
50,5025,3484
60,5025,3534
70,5025,3653
80,5025,3677
90,5025,3681
44,4035,2507
58,4035,3168
29,3669,1998
95,2692,1799
83,2692,1815
72,2691,1463
74,2691,1491
66,2691,1589
87,2691,1596
61,2691,1633
1,2691,1784
23,2691,1993
38,2690,1446
76,2690,1544
54,2690,1587
24,2690,1630
4,2690,1650
43,2690,1665
96,2690,1727
49,2690,1850
71,2201,1164
18,2197,1184
15,2193,1331
53,2193,1367
46,2189,1488
59,1792,1312
42,1767,1293
52,1750,1078
62,509,282
67,508,280
22,507,312
57,505,285
41,503,297
69,501,282
34,500,280
94,500,283
19,496,282
55,495,287
33,492,281
36,485,280
84,484,281
73,483,286
99,479,282
86,477,312
97,474,282
11,473,268
32,473,280
91,473,282
68,472,256
45,471,286
89,471,292
48,469,299
25,468,284
88,468,285
35,453,253
75,453,263
92,452,285
26,448,279
37,443,262
56,442,250
39,441,245
85,436,262
28,432,281
47,431,259
81,431,276
6,424,252
27,420,276
93,415,282
98,393,237
77,392,231
13,392,235
2,391,227
79,391,229
12,391,235
63,391,239
31,390,219
64,390,221
8,390,225
16,390,231
14,390,235
17,390,235
82,390,235
3,390,239
5,389,229
78,389,229
65,389,231
21,389,247
51,388,219
7,388,233
9,386,231
