Run Number, Maximum X, Frame Reached
0,5025,3484
10,5025,3534
20,5025,3653
30,5024,3206
40,5024,3320
50,4851,4997
60,4850,4998
70,4356,2426
80,4355,2706
90,4355,2810
81,4035,2179
32,4034,2407
7,4034,2518
62,3690,4999
68,3538,4999
16,2692,1348
83,2692,1400
17,2691,1491
99,2691,1515
18,2691,1554
14,2691,1567
36,2691,1582
1,2691,1648
53,2691,1648
37,2691,1652
8,2691,1701
33,2691,1723
35,2690,1381
66,2690,1413
97,2690,1459
34,2690,1500
22,2690,1521
86,2690,1581
87,2690,1613
15,2690,1617
38,2690,1694
79,2690,1694
89,2207,1163
61,2203,1291
65,2201,1162
71,2200,1329
55,2199,1176
41,2198,1186
85,2197,1287
46,2195,1129
24,2194,1196
27,2183,1291
88,1821,1046
9,1773,989
45,518,262
74,513,286
13,501,292
31,495,278
58,490,258
51,489,257
19,489,265
57,488,261
63,487,249
52,487,257
6,486,267
23,485,282
26,484,290
93,473,254
29,471,278
11,467,279
39,455,245
73,441,238
56,438,219
25,435,281
76,433,229
49,426,217
48,425,221
78,424,228
91,424,235
72,419,228
75,409,228
12,408,226
4,407,229
84,394,219
67,393,203
42,393,205
64,393,205
43,393,207
47,393,207
44,393,209
77,393,221
28,393,233
94,392,213
96,392,221
92,392,227
54,391,203
59,391,205
69,391,205
3,391,211
98,390,209
2,390,217
82,390,219
5,390,223
95,390,225
21,388,237
