Run Number, Maximum X, Frame Reached
0,5025,3308
10,5025,3381
20,5025,3484
30,5025,3534
40,5025,3653
50,5025,3681
60,5024,3206
70,5024,3320
80,4851,4997
90,4850,4998
82,3680,4999
77,3515,4999
93,3409,4999
94,2691,1391
95,2691,1437
59,2691,1545
52,2691,1668
86,2691,1679
54,2691,1754
69,2691,2561
22,2691,3820
98,2690,1402
46,2690,1417
91,2690,1479
48,2690,1516
37,2690,1527
63,2690,1541
43,2690,1544
27,2690,1612
68,2202,1481
99,2201,1111
34,2199,1353
96,2197,1213
83,2195,1285
75,2194,1351
89,2192,1310
15,2191,1199
78,1820,872
4,1820,1066
31,1650,834
24,516,286
21,514,286
55,508,310
66,507,280
8,505,293
7,503,280
73,502,256
12,502,297
14,501,297
16,497,279
17,489,287
76,486,256
45,483,282
44,481,282
13,481,312
29,480,286
18,473,274
33,472,262
38,471,264
3,456,255
62,455,239
36,455,253
23,454,245
61,454,252
67,454,257
1,440,252
57,438,250
58,438,250
79,437,224
51,436,270
81,435,219
88,432,221
72,429,221
64,429,235
26,419,232
9,413,252
35,410,234
25,405,229
19,405,252
85,394,207
87,394,207
11,394,251
92,393,201
53,393,215
2,393,231
56,393,237
5,393,249
41,391,231
97,390,203
74,390,207
84,390,207
28,390,217
39,390,217
65,390,225
6,390,233
71,389,203
42,389,215
49,388,229
47,388,231
32,388,243
