Run Number, Maximum X, Frame Reached
0,4850,4998
10,4354,2326
20,4354,2707
30,4035,2000
96,4035,2053
40,4035,2085
50,4035,2138
60,4035,2147
70,4035,2190
80,4035,2226
90,4035,2226
9,3682,4999
52,2691,1330
31,2691,1360
48,2691,1371
99,2691,1385
86,2691,1404
34,2691,1408
38,2691,1413
69,2691,1413
55,2691,1447
57,2691,1481
6,2691,1489
53,2691,1492
88,2691,1497
37,2691,1504
16,2691,1523
2,2690,1403
89,2690,1479
7,2690,1491
82,2690,1494
67,2690,1499
8,2690,1504
59,2690,1509
93,2690,1562
12,2690,1577
23,2690,1605
18,2690,1619
14,2690,1649
35,2202,1032
63,2202,1152
26,2202,1307
27,2201,1111
51,2201,1260
84,2200,1081
17,2200,1159
32,2200,1184
92,2199,1325
65,2198,1142
95,2198,1149
75,2198,1156
91,2198,1264
71,2197,1157
15,2189,1275
54,1799,858
43,1777,865
68,1775,1016
58,1700,1013
81,1691,778
98,1691,930
22,1655,882
3,1334,920
87,517,255
19,515,281
28,514,258
77,505,247
83,502,242
74,497,236
94,488,246
97,486,251
56,471,247
85,470,224
33,464,223
62,454,219
79,441,210
61,441,222
72,438,210
66,432,211
21,431,219
78,426,207
39,425,207
64,425,209
47,417,200
24,417,216
1,405,207
42,396,195
49,396,197
5,394,203
13,394,209
41,393,191
73,392,189
45,392,191
76,392,195
29,392,203
25,392,209
46,391,191
44,391,201
36,391,203
4,390,199
11,390,199
