Run Number, Maximum X, Frame Reached
0,5025,3308
10,5025,3381
20,5025,3484
30,5025,3534
40,5025,3653
50,5025,3681
60,5024,3206
70,5024,3320
80,4851,4997
90,4850,4998
66,4036,2562
81,4035,2269
4,4035,2648
91,4034,2298
94,3533,4999
95,3475,4980
84,3475,4981
85,2692,1510
75,2691,1533
34,2691,1576
23,2691,1589
14,2691,1865
24,2691,4610
99,2690,1462
55,2690,1538
58,2690,1542
22,2690,1585
89,2200,1249
97,2200,1350
96,2198,1308
64,2197,1360
6,2193,1164
98,2189,1315
53,2176,1535
54,1768,1184
63,520,281
19,512,300
1,510,279
88,505,263
65,496,283
35,496,297
13,493,297
37,490,280
8,489,279
61,489,289
69,488,292
79,487,254
31,486,265
17,477,298
46,475,282
39,473,252
3,473,282
12,472,266
76,470,248
27,470,255
57,470,278
29,457,255
36,457,269
62,447,254
77,442,232
33,442,256
78,441,244
32,441,279
56,440,262
93,439,218
59,438,264
15,437,262
26,436,246
11,435,263
21,433,243
82,431,219
87,429,219
86,424,218
92,421,218
51,407,264
28,405,235
16,400,279
9,395,233
83,394,201
2,394,231
67,393,227
44,393,229
72,392,205
48,392,231
73,391,207
74,391,207
38,391,221
41,391,227
7,391,233
52,391,239
18,391,261
71,390,205
25,390,221
68,390,225
5,390,233
43,390,233
45,388,229
42,387,237
47,387,239
49,383,241
