Run Number, Maximum X, Frame Reached
0,5026,3618
10,5025,3087
20,5025,3258
30,5025,3308
40,5025,3381
50,5025,3484
60,5025,3534
70,5025,3560
80,5025,3653
90,5025,3677
45,4036,2534
23,3941,2748
96,2692,1464
56,2692,1494
58,2692,1680
68,2691,1469
4,2691,1772
49,2691,1862
28,2691,1943
98,2691,1960
59,2690,1427
31,2690,1457
66,2690,1516
62,2690,1558
53,2199,1228
57,2195,1110
61,2193,1360
79,2171,1361
69,1826,1111
91,1823,1064
55,1767,875
52,517,285
43,512,298
26,510,311
41,509,298
82,507,281
39,505,279
48,505,297
11,503,280
93,502,315
46,495,283
67,489,269
15,485,280
42,482,284
5,481,282
14,480,278
64,473,260
34,473,263
44,473,297
3,472,280
19,471,276
76,471,279
72,470,281
24,470,284
75,468,279
29,467,288
54,464,255
94,464,285
1,463,279
92,462,281
36,459,279
16,457,269
12,455,263
78,455,273
65,454,247
47,449,298
77,437,244
22,437,266
27,432,277
13,423,239
83,419,234
7,410,252
97,403,253
35,394,221
63,393,225
88,393,237
87,392,223
51,392,227
32,392,231
21,392,237
38,391,223
33,391,225
84,391,225
89,391,233
73,391,235
74,391,235
81,391,235
6,390,231
17,390,235
25,390,235
95,390,235
2,390,237
37,390,239
85,389,227
71,389,231
18,389,235
86,388,231
9,387,227
8,387,233
99,386,251
