Run Number, Maximum X, Frame Reached
0,5025,3484
10,5025,3534
20,5025,3653
30,5024,3206
40,5024,3320
50,4851,4997
60,4850,4998
70,4356,2426
80,4355,2706
90,4355,2810
44,4035,2376
65,3699,4999
83,3670,2096
71,2692,1574
48,2692,4504
63,2691,1413
87,2691,1465
6,2691,1498
16,2691,1530
68,2691,1533
97,2691,1565
81,2691,1573
66,2691,1578
75,2691,1589
49,2691,1590
4,2691,1596
88,2691,1612
38,2691,1822
3,2690,1496
72,2690,1521
14,2690,1547
1,2690,1575
42,2201,1038
41,2200,1072
35,2199,1398
54,2198,1242
15,2198,1425
59,2195,1087
45,2195,1328
98,1820,1048
19,1790,1109
11,1300,766
96,518,281
99,515,278
8,514,285
5,510,285
36,508,280
47,504,263
2,503,285
31,502,281
17,493,281
34,491,281
18,489,265
53,488,257
78,486,266
26,485,276
7,481,285
95,472,250
12,472,268
39,450,250
25,445,282
85,434,247
21,425,239
76,420,228
24,419,240
79,416,226
73,416,228
61,395,203
94,394,223
69,393,205
43,393,207
46,393,207
64,393,207
51,393,209
86,393,215
91,393,225
74,393,229
89,393,233
37,392,231
62,391,203
67,391,203
13,391,211
93,391,213
9,391,217
92,391,217
84,391,221
82,391,223
22,391,229
29,391,229
32,391,233
56,390,203
58,390,205
52,390,207
77,390,213
28,390,231
33,390,233
57,389,201
55,389,207
23,387,229
27,386,223
