Run Number, Maximum X, Frame Reached
0,5025,3308
10,5025,3484
20,5025,3534
30,5025,3653
40,5025,3681
50,5024,3206
60,5024,3320
70,4851,4997
80,4850,4998
90,4633,3635
76,3681,4999
91,3669,4999
87,2692,4503
93,2691,1483
26,2691,1546
14,2691,1564
73,2691,1575
17,2691,1590
19,2691,1680
36,2690,1317
81,2690,1388
69,2690,1513
16,2690,1569
11,2690,1682
38,2690,1855
88,2199,1310
89,2197,1055
64,2196,1131
27,2193,1235
8,2192,1290
46,2190,1377
31,1828,942
79,1776,920
82,524,261
47,517,312
1,513,279
57,511,282
65,510,262
66,505,257
99,505,258
59,503,281
5,503,282
53,494,281
52,492,281
62,489,260
2,488,290
6,487,287
18,479,250
4,476,280
42,474,282
45,469,284
41,469,286
54,468,258
33,465,281
34,458,277
7,457,280
3,444,280
51,442,236
28,440,285
39,439,242
29,437,262
84,433,219
96,433,219
86,428,217
43,419,264
71,415,210
23,414,260
49,410,282
58,402,225
15,400,221
85,394,201
61,394,207
74,392,201
68,392,205
72,392,205
77,392,205
94,392,205
13,392,215
56,392,223
24,392,225
22,392,227
44,392,231
9,392,235
97,391,203
67,391,205
83,391,207
21,391,213
55,391,213
12,391,215
48,391,239
95,390,201
98,390,203
75,390,205
78,390,205
25,390,247
63,389,207
37,389,231
92,388,203
35,388,231
32,388,233
