Run Number, Maximum X, Frame Reached
0,5025,3308
10,5025,3381
20,5025,3484
30,5025,3534
40,5025,3653
50,5025,3681
60,5024,3206
70,5024,3320
80,4886,4997
90,4851,4997
94,3627,4999
93,3621,4999
36,2692,1513
33,2692,1591
97,2692,4505
78,2691,1375
46,2691,1454
54,2691,1506
75,2691,1567
16,2691,1613
23,2691,1664
49,2691,1726
24,2691,1797
52,2690,1315
29,2690,1461
64,2690,1497
14,2690,1566
41,2690,1583
28,2690,1624
39,2690,1646
61,2690,1777
1,2197,1181
3,2190,1294
83,1821,954
21,518,283
32,515,278
15,512,298
2,505,297
19,505,298
11,492,291
89,489,281
76,488,247
95,488,255
35,488,267
72,487,255
38,487,266
84,487,283
17,487,295
74,486,253
8,484,280
67,477,262
62,473,261
31,472,268
71,470,238
65,469,259
57,468,281
59,467,281
68,457,245
63,455,243
69,455,257
56,450,282
48,436,264
12,434,281
81,431,279
96,430,219
98,430,219
26,430,241
92,415,218
4,413,246
79,394,201
77,394,207
85,394,233
87,394,233
91,393,205
22,393,219
34,393,221
88,393,235
82,393,237
99,392,205
25,392,213
66,392,233
6,392,237
73,391,203
5,391,223
42,391,229
45,391,229
7,391,235
13,391,235
53,391,237
18,391,247
37,390,223
47,390,229
44,390,231
9,390,233
86,390,233
43,390,237
27,389,229
58,389,241
51,389,249
55,387,253
