Run Number, Maximum X, Frame Reached
0,5025,3308
10,5025,3381
20,5025,3484
30,5025,3534
40,5025,3653
50,5025,3681
60,5024,3206
70,5024,3320
80,4886,4997
90,4851,4997
73,4036,2345
78,4035,2296
75,3340,4999
95,2692,1372
25,2692,1577
53,2692,1678
76,2691,1391
68,2691,1515
57,2691,1628
82,2691,1783
72,2690,1262
11,2690,1483
29,2690,1522
97,2690,1558
69,2690,1739
87,2690,1775
17,2199,1299
79,2198,1286
62,2197,1199
88,1818,998
2,1767,964
89,1750,1284
16,1683,1006
35,1677,1049
24,521,285
65,518,281
64,515,280
66,513,280
63,513,282
67,512,282
18,511,297
21,509,286
23,508,285
19,507,298
3,505,279
37,505,280
14,494,291
39,493,279
38,489,267
58,485,290
85,479,278
61,478,280
15,477,280
36,474,280
96,472,248
32,472,262
4,467,279
55,466,284
8,457,247
81,457,279
31,456,237
74,455,237
5,455,279
45,453,267
83,453,278
43,452,273
27,451,242
34,448,252
42,437,268
92,434,219
71,427,221
26,425,229
59,424,263
7,395,209
1,394,231
51,394,237
91,393,203
99,393,203
77,393,205
94,393,205
93,393,207
22,393,215
54,393,227
47,393,231
46,393,237
49,393,237
52,392,235
12,391,227
84,391,227
6,391,229
9,391,235
98,390,205
56,390,229
44,390,233
86,390,233
28,389,219
33,389,221
48,389,221
41,388,231
13,307,204
