Run Number, Maximum X, Frame Reached
0,5025,3484
10,5025,3534
20,5025,3653
30,5024,3206
40,5024,3320
50,4851,4997
60,4850,4998
70,4356,2426
80,4355,2706
90,4355,2810
42,4035,2264
93,4034,2221
74,3932,2466
66,3703,4999
69,3673,4999
62,3594,4999
54,2692,1501
82,2692,1578
56,2692,1680
46,2691,1338
44,2691,1421
35,2691,1504
5,2691,1525
98,2691,1563
21,2691,1631
11,2691,1652
51,2691,1732
85,2690,1447
68,2690,1500
89,2690,1572
86,2690,1578
7,2690,1586
75,2690,1619
45,2202,1091
88,2201,1278
19,2200,1083
43,2199,1175
39,2196,1136
53,2192,1200
29,1822,961
81,1807,1018
76,1799,942
61,1690,863
87,518,281
4,514,284
12,511,280
17,503,280
16,502,281
47,487,256
28,486,273
91,479,280
36,473,252
6,473,260
78,470,268
34,469,250
13,468,263
27,454,247
18,440,234
57,439,219
83,439,250
64,437,219
37,437,244
71,435,229
84,431,243
72,430,227
2,430,245
38,428,243
15,424,245
23,415,244
58,414,218
32,414,232
79,413,230
31,398,209
26,394,227
48,393,203
63,393,203
55,393,207
99,393,215
8,393,225
33,393,225
95,393,227
97,393,227
94,392,221
49,391,209
9,391,229
22,391,233
25,391,233
24,391,237
67,390,203
65,390,205
41,390,207
52,390,207
59,390,207
73,390,217
92,390,219
1,390,223
96,390,223
77,390,225
3,389,219
14,307,180
