Run Number, Maximum X, Frame Reached
0,5025,3484
10,5025,3534
20,5025,3653
35,5025,3681
30,5024,3206
40,5024,3320
50,4851,4997
60,4850,4998
70,4356,2426
80,4355,2706
90,4355,2810
37,4036,2232
76,4034,2217
78,3879,3791
65,3535,4999
96,2692,1465
72,2692,1549
93,2692,1620
52,2692,4505
94,2691,1365
47,2691,1393
82,2691,1425
28,2691,1455
13,2691,1511
88,2691,1541
98,2691,1581
99,2691,1589
6,2691,1644
64,2691,1710
45,2690,1483
14,2690,1527
18,2690,1556
9,2690,1646
49,2690,1753
91,2205,1227
7,2202,1113
61,2202,1211
63,2201,1170
58,2201,1291
44,2200,1081
55,2199,1211
77,2199,1285
24,2195,1139
25,2193,1297
68,2192,1313
8,2191,1273
92,1824,1001
69,1824,1047
54,1821,1131
62,1799,916
3,1796,1080
21,1300,804
4,519,286
5,519,290
38,516,279
34,516,281
33,509,282
15,507,280
87,498,283
39,495,279
95,489,257
79,489,261
86,488,264
32,488,280
36,488,286
27,486,280
56,485,261
26,481,280
16,467,261
29,457,255
11,454,269
2,444,242
67,438,219
57,437,229
73,437,229
1,436,237
23,431,247
71,420,228
51,415,212
59,407,218
12,407,240
48,394,207
89,394,219
19,393,221
66,392,205
75,392,221
85,391,221
31,391,223
74,391,227
81,391,227
22,391,237
42,390,205
43,390,207
46,390,207
53,390,207
41,390,209
83,390,217
97,390,221
17,390,223
84,390,223
