Run Number, Maximum X, Frame Reached
0,5025,3308
10,5025,3381
20,5025,3484
30,5025,3534
40,5025,3653
50,5025,3681
60,5024,3206
70,5024,3320
80,4886,4997
90,4851,4997
39,4036,2618
81,4035,2419
91,3474,4988
93,3341,4999
94,2692,1491
92,2691,1414
97,2691,1431
44,2691,1503
36,2691,1547
19,2691,1659
57,2691,1908
84,2691,3824
78,2690,1421
11,2690,1429
25,2690,1521
27,2690,1591
87,2690,1643
46,2690,1679
64,2690,1713
45,2690,1722
56,2690,1729
23,2204,1315
28,2195,1497
76,2189,1183
99,2186,1144
6,520,281
16,512,298
67,511,280
12,510,298
47,505,282
22,502,286
53,502,312
32,501,279
62,501,281
29,501,286
5,498,263
34,489,271
98,487,254
49,487,277
38,487,279
13,487,298
18,485,266
17,476,290
41,475,280
69,475,280
95,473,242
2,473,268
4,473,274
31,472,266
9,472,279
82,472,294
3,471,264
7,469,260
89,469,281
42,468,266
33,466,261
55,465,281
88,462,259
51,459,281
63,457,245
68,455,252
54,455,281
14,455,298
15,453,296
8,451,280
37,442,260
66,437,251
59,437,280
83,436,261
43,434,263
24,430,239
74,428,225
26,427,243
21,421,233
77,403,207
35,393,215
96,392,203
72,392,205
58,392,225
85,392,227
1,392,229
79,391,205
73,391,207
75,391,209
61,391,217
65,391,227
86,391,227
52,391,237
71,390,207
48,390,237
