Run Number, Maximum X, Frame Reached
36,2692,1149
53,2692,1228
86,2691,1226
16,2691,1319
54,2691,1326
1,2691,1422
11,2691,1461
41,2690,1145
67,2690,1257
65,2690,1296
59,2690,1397
38,2202,924
33,2202,937
66,2202,981
39,2202,1048
69,2202,1053
98,2202,1090
78,2202,1122
27,2201,918
29,2201,1034
24,2201,1059
45,2201,1079
34,2201,1181
48,2200,1055
43,2200,1198
22,2200,1240
96,1815,760
4,1814,676
55,1703,698
99,1701,772
6,1699,844
0,1326,469
10,1326,469
20,1326,469
30,1326,469
40,1326,469
50,1326,469
60,1326,469
70,1326,469
80,1326,469
90,1326,469
82,509,235
73,505,234
63,502,211
64,497,229
97,474,218
26,473,220
85,465,187
87,463,184
44,463,215
81,457,213
31,455,211
52,455,211
5,453,210
62,448,208
95,447,188
14,441,193
37,437,203
57,431,181
46,428,176
74,426,197
91,423,184
18,419,190
94,416,192
19,415,192
2,409,192
92,405,173
75,402,169
76,402,169
7,401,169
12,400,165
3,399,163
83,399,173
35,399,177
68,399,177
77,399,181
93,398,159
49,398,171
25,397,179
8,395,179
71,395,179
15,395,185
32,395,185
23,394,173
42,394,183
79,394,183
72,393,181
21,393,183
84,393,183
17,393,185
58,393,187
28,392,181
9,392,183
61,392,183
13,392,185
47,392,187
51,391,181
56,391,181
88,391,181
89,391,181
