Run Number, Maximum X, Frame Reached
0,5026,3618
10,5025,3087
20,5025,3258
30,5025,3308
40,5025,3381
50,5025,3484
60,5025,3534
70,5025,3653
80,5025,3681
90,5024,3206
97,4034,2284
66,4034,2408
69,2692,1466
9,2692,1813
55,2691,1549
19,2691,1558
58,2691,1575
59,2691,1613
52,2691,1698
22,2691,1704
14,2691,1953
18,2690,1497
73,2690,1514
89,2690,1581
84,2690,1584
31,2690,1587
35,2690,1729
42,2690,1740
88,2690,1885
15,2201,1367
99,2198,1398
26,1823,1151
53,1651,1036
62,511,282
41,510,298
46,500,297
91,497,279
61,493,279
48,491,298
12,488,280
1,487,279
27,484,290
94,482,264
17,479,280
77,475,282
28,470,286
2,469,280
82,469,281
33,468,277
63,466,279
43,464,299
29,462,281
51,461,249
47,458,297
67,457,269
39,457,279
68,456,271
75,452,265
65,451,260
36,439,252
44,437,264
24,437,281
85,435,250
76,435,263
25,434,277
38,424,249
96,420,238
83,417,267
92,416,246
87,407,239
93,399,209
45,396,269
54,393,219
57,393,231
8,393,237
98,392,217
95,392,227
72,392,231
13,392,233
11,392,235
79,392,235
81,392,235
32,392,239
64,391,221
37,391,231
23,391,235
86,391,239
21,391,253
56,390,219
78,390,227
71,390,229
7,390,231
34,390,231
5,390,233
16,390,233
49,390,263
4,388,233
6,388,237
3,387,237
74,386,227
