Run Number, Maximum X, Frame Reached
0,5026,3618
10,5025,3087
20,5025,3258
30,5025,3308
40,5025,3381
50,5025,3484
60,5025,3534
70,5025,3653
80,5025,3677
90,5025,3681
92,2692,1410
74,2692,1413
56,2691,1488
98,2691,1502
48,2691,1536
51,2691,1852
26,2691,2010
68,2690,1511
55,2690,1525
78,2690,1538
79,2690,1680
2,2690,1732
9,2690,1910
13,2199,1237
49,2199,1491
22,2192,1390
85,2190,1613
93,1828,1159
19,1809,1370
29,1799,1156
65,1300,801
53,519,286
54,511,294
42,510,304
23,510,312
14,505,297
75,504,294
46,504,297
21,500,313
43,494,298
7,492,279
47,491,297
18,487,278
44,484,280
34,478,264
82,473,278
61,472,262
25,472,312
66,471,275
69,470,264
39,469,279
38,467,279
99,467,281
52,466,245
97,465,281
4,463,286
63,456,259
91,456,269
15,454,245
41,453,257
94,453,271
88,453,287
96,452,282
3,451,255
24,451,285
64,447,280
27,443,282
59,439,242
77,438,250
81,438,279
72,436,262
45,433,281
87,431,286
86,427,263
62,424,231
83,407,279
32,395,235
89,395,245
35,394,239
17,393,233
36,393,263
58,392,211
67,392,219
33,392,225
12,392,231
37,392,233
73,392,233
31,392,237
76,391,229
5,391,231
71,391,231
16,391,235
8,390,237
28,390,253
57,389,217
1,389,227
11,389,233
6,389,237
95,389,241
84,308,190
