Run Number, Maximum X, Frame Reached
0,5025,3484
10,4850,4998
20,4355,2706
30,4355,2810
40,4354,2307
50,4354,2326
60,4354,2707
70,4354,4657
80,4036,2015
90,4036,2091
39,4036,2203
25,4034,2355
69,2692,1369
38,2692,1561
65,2691,1283
8,2691,1350
89,2691,1350
63,2691,1484
51,2691,1527
9,2691,1726
85,2690,1288
14,2690,1316
44,2690,1341
58,2690,1342
86,2690,1366
81,2690,1374
99,2690,1410
54,2690,1432
61,2690,1459
52,2690,1524
6,2690,1529
55,2690,1548
33,2690,1574
57,2202,1108
47,2202,1206
41,2201,1073
45,2201,1113
88,2199,1102
96,2199,1308
48,2198,1243
92,2198,1349
35,2196,1331
19,2192,1347
32,2190,1311
95,1820,1100
18,1800,921
56,1796,862
13,1776,955
11,1688,862
3,1654,1028
84,515,254
2,514,282
26,505,281
94,489,259
62,488,250
87,486,249
79,485,259
66,479,242
15,474,242
37,472,254
21,472,260
71,471,246
97,471,248
7,470,252
73,470,254
67,456,231
83,441,216
46,428,223
82,426,211
78,413,222
91,408,211
49,404,207
43,401,209
4,400,225
42,394,203
76,394,203
12,394,205
64,394,207
27,394,221
22,394,223
98,393,205
59,393,217
5,393,219
53,393,229
29,393,233
68,392,205
93,392,211
36,392,223
16,391,201
72,391,205
75,391,207
1,391,219
34,391,223
23,391,225
24,391,225
17,390,205
74,390,205
77,390,207
28,390,225
31,390,229
