Run Number, Maximum X, Frame Reached
0,5025,3308
10,5025,3381
20,5025,3484
30,5025,3534
40,5025,3653
50,5025,3681
60,5024,3206
70,5024,3320
80,4886,4997
90,4851,4997
69,4035,2555
13,4035,2838
99,4035,3027
85,4035,4278
58,4034,2282
37,2692,1497
45,2692,1600
67,2691,1359
44,2691,1524
62,2691,1534
9,2691,1575
6,2691,1589
21,2691,1656
26,2691,1840
87,2691,3593
97,2690,1431
27,2690,1533
79,2690,1561
93,2690,1641
57,2690,1677
42,2690,1719
25,2200,1201
7,2198,1330
74,2193,1130
86,2184,1311
17,1824,1112
81,1753,949
23,1652,1040
19,1338,888
65,519,281
14,516,298
56,516,311
51,516,312
53,514,312
48,507,282
73,505,254
22,504,285
4,502,289
52,500,281
3,499,278
68,499,279
15,497,297
94,490,259
84,488,279
36,488,281
95,486,253
33,486,280
12,485,297
32,481,260
2,478,280
18,476,306
78,471,252
71,470,242
38,470,259
35,470,260
11,469,279
31,456,255
5,454,279
16,454,306
8,439,250
29,437,243
92,435,219
96,434,219
91,429,219
63,419,238
34,418,262
72,415,218
75,406,219
28,406,225
82,395,233
76,394,207
88,394,217
54,394,237
77,393,207
89,393,233
83,393,235
61,391,215
66,391,229
1,391,231
41,391,233
43,391,233
46,391,237
59,391,241
98,390,201
24,390,219
39,390,223
64,390,233
55,390,235
49,389,229
47,388,229
