Run Number, Maximum X, Frame Reached
0,5025,3308
10,5025,3381
20,5025,3484
30,5025,3534
40,5025,3653
50,5025,3681
60,5024,3206
70,5024,3320
80,4886,4997
90,4851,4997
44,4632,2432
71,4035,2169
96,4035,2244
57,4035,2441
7,2692,1657
69,2691,1468
84,2691,1521
58,2691,1530
13,2691,1594
21,2691,1646
22,2691,1675
97,2690,1355
78,2690,1487
32,2690,1560
38,2690,1576
66,2690,1603
23,2690,1616
62,2690,1741
73,2199,1144
18,2199,1341
29,2195,1256
9,2195,1328
26,1795,872
75,1775,959
41,521,282
34,517,282
59,514,312
42,512,283
54,508,298
5,505,286
64,504,279
52,504,281
67,503,279
36,503,280
19,502,292
51,501,281
28,500,286
4,498,280
68,494,281
53,492,282
82,490,288
63,489,279
89,489,284
31,487,273
47,486,277
16,486,297
2,477,280
85,471,279
46,471,282
72,470,244
33,468,266
27,467,255
83,467,279
15,467,299
61,456,245
37,456,251
76,455,243
86,455,279
77,454,233
11,452,261
65,448,244
88,432,261
25,430,241
17,425,281
14,402,249
12,400,281
79,395,205
98,393,203
92,393,205
93,393,207
55,393,233
8,393,241
95,392,207
35,392,223
81,392,233
3,392,245
74,391,203
91,391,203
94,391,207
99,391,213
6,391,221
1,391,225
43,391,229
48,391,233
49,391,233
87,391,233
24,390,231
45,390,233
56,390,237
39,389,221
