Run Number, Maximum X, Frame Reached
0,5027,3299
10,5026,3618
20,5025,3087
30,5025,3258
40,5025,3308
50,5025,3381
60,5025,3484
70,5025,3534
80,5025,3560
90,5025,3574
64,2692,1556
83,2692,1626
67,2691,1505
76,2691,1522
78,2691,1625
63,2691,1673
11,2690,1503
3,2690,1620
26,2690,1626
1,2195,1523
62,2186,1280
13,2176,1298
4,2171,1486
94,1783,1238
33,1778,1323
2,1649,1006
56,517,298
68,516,288
65,510,285
58,510,300
22,506,298
27,505,280
8,505,285
28,504,288
51,504,298
35,503,280
38,503,311
45,502,268
71,501,279
77,499,279
74,495,279
18,494,281
46,493,279
97,488,287
79,487,272
24,487,275
98,487,283
37,486,311
43,478,280
59,477,280
84,475,280
75,473,279
9,472,252
57,471,280
54,469,278
32,469,280
81,466,281
31,464,311
53,461,287
49,458,263
23,458,279
85,458,281
39,456,263
69,454,247
42,449,252
7,444,248
29,440,274
73,435,245
55,426,273
12,425,261
91,425,286
86,424,269
61,420,242
66,418,230
5,394,219
17,393,219
41,393,231
21,393,237
89,393,237
99,393,237
44,391,221
19,391,229
47,391,229
15,391,231
48,391,231
82,391,231
88,391,237
36,391,239
34,391,249
6,390,225
52,390,229
14,390,231
72,390,231
87,390,233
96,390,235
95,390,237
25,389,227
92,389,235
93,388,231
16,386,247
