Run Number, Maximum X, Frame Reached
0,5025,3484
31,5025,3534
10,4850,4998
20,4355,2706
30,4355,2810
40,4354,2307
50,4354,2326
60,4354,2707
70,4354,4657
80,4036,2015
90,4036,2091
28,4035,2598
86,4034,2013
18,3692,4999
55,2692,1435
25,2692,1494
12,2692,1508
15,2691,1431
59,2691,1437
37,2691,1460
96,2691,1460
87,2691,1555
9,2691,1576
23,2691,1599
14,2691,1616
1,2691,1658
43,2690,1345
85,2690,1374
74,2690,1387
29,2690,1416
91,2690,1431
19,2690,1493
82,2690,1554
89,2207,1136
84,2201,1016
48,2201,1073
81,2201,1099
54,2201,1109
69,2201,1116
88,2200,1099
51,2199,1155
66,2198,1174
53,2197,1423
46,2195,1094
17,2188,1350
49,1773,938
99,1768,886
45,1329,806
56,517,281
2,513,285
3,510,276
63,509,261
77,490,251
27,490,261
13,489,253
97,489,255
98,488,255
62,487,247
75,487,257
7,487,286
21,471,254
95,469,243
76,456,257
47,455,229
8,451,254
6,450,248
22,439,239
16,436,219
61,436,221
65,433,223
83,432,213
11,415,218
71,406,221
4,405,223
42,394,203
67,393,203
44,393,205
52,393,213
32,393,219
33,393,221
39,393,225
72,392,207
92,392,209
26,392,221
64,391,203
93,391,203
41,391,205
94,391,205
79,391,207
57,391,217
36,391,223
38,391,227
73,390,205
78,390,205
68,390,207
5,390,221
34,390,221
58,390,221
24,390,223
35,390,231
