Run Number, Maximum X, Frame Reached
0,5025,3308
10,5025,3381
20,5025,3484
30,5025,3534
40,5025,3653
50,5025,3681
60,5024,3206
70,5024,3320
80,4851,4997
90,4850,4998
61,4354,2442
82,4034,2281
74,3671,3154
85,3635,4999
88,3607,4999
83,3476,4932
75,2692,1494
66,2691,1518
12,2691,1562
33,2691,1590
45,2691,1592
79,2691,1626
8,2691,1675
41,2691,1718
71,2690,1438
58,2690,1515
23,2690,1675
29,2690,1761
96,2202,1172
42,2199,1515
92,2197,1101
97,2197,1177
69,2194,1332
48,1821,1040
11,1821,1114
95,1804,969
98,1775,917
22,1648,1048
63,518,280
65,517,281
78,514,273
25,514,286
27,513,286
81,505,262
62,505,281
19,502,297
38,498,279
64,494,281
39,488,269
15,488,274
93,487,255
7,487,280
6,486,279
31,483,280
36,479,260
3,479,280
56,473,282
16,472,290
9,471,280
5,470,280
55,469,280
53,468,284
18,467,281
17,463,281
57,453,285
52,450,271
37,444,260
51,439,284
59,436,262
84,432,219
89,430,219
21,423,227
87,422,220
99,420,210
46,418,242
91,416,210
14,407,252
1,405,245
49,394,235
94,393,205
4,393,221
26,393,221
44,392,231
68,392,233
72,391,205
76,391,205
86,391,205
2,391,227
47,391,231
54,391,235
13,391,237
73,390,203
77,390,209
28,390,217
34,390,219
32,390,221
35,390,221
67,390,229
24,390,231
43,390,231
