Run Number, Maximum X, Frame Reached
0,5025,3308
10,5025,3381
20,5025,3484
30,5025,3534
40,5025,3653
50,5025,3681
60,5024,3206
70,5024,3320
80,4886,4997
90,4851,4997
24,4036,2482
56,4035,2237
42,4035,2378
85,4034,2662
54,3667,2046
97,3617,4999
78,2692,1572
26,2692,1745
58,2691,1467
43,2691,1472
14,2691,1525
37,2691,1572
84,2691,1622
1,2691,1648
61,2691,1808
29,2690,1688
87,2690,1785
63,2198,1327
48,2197,1394
72,2195,1388
8,2193,1232
3,2193,1237
5,2183,1164
6,1821,1001
96,1799,1107
93,1798,850
57,1698,894
15,521,297
64,520,280
66,520,280
33,515,280
12,512,298
23,509,285
65,509,285
95,502,258
91,502,263
28,499,286
35,498,279
21,495,285
98,489,259
39,489,267
13,488,296
71,487,254
11,483,289
52,479,282
81,475,280
27,472,253
68,470,269
53,470,282
59,466,281
75,458,247
86,458,277
17,457,261
16,457,265
38,457,267
32,457,269
7,457,277
83,453,280
55,447,283
41,439,250
62,437,238
74,421,216
92,421,220
19,406,280
76,400,209
36,400,233
94,393,207
77,393,209
46,393,229
2,393,231
88,393,233
51,393,239
73,392,209
44,392,229
82,392,235
4,391,221
31,391,221
69,391,225
9,391,237
89,391,237
99,390,203
79,390,205
47,390,215
22,390,223
67,390,231
18,390,235
34,390,239
49,389,231
25,388,225
45,308,186
