Run Number, Maximum X, Frame Reached
0,5025,3484
10,5025,3534
20,5025,3653
30,5024,3206
40,5024,3320
51,4851,4997
50,4850,4998
60,4356,2426
70,4355,2706
80,4355,2810
90,4354,2307
93,4354,2439
68,3884,2275
67,3883,2294
58,2692,1481
62,2692,1596
4,2691,1415
99,2691,1484
1,2691,1518
5,2691,1579
3,2691,1867
46,2690,1315
49,2690,1412
13,2690,1466
76,2690,1491
8,2690,1557
12,2690,1558
74,2690,1563
44,2690,1740
85,2690,1745
94,2202,1190
96,2201,1143
47,2201,1155
55,2201,1164
89,2200,1140
34,2200,1406
72,2199,1236
29,2198,1103
66,2198,1131
54,2193,1222
15,1820,974
7,1819,1008
61,1797,940
59,1773,956
33,1771,1174
35,1700,1050
31,519,286
9,518,285
19,516,282
75,514,280
39,505,281
37,504,280
38,504,281
36,502,280
71,489,263
23,488,281
86,486,251
45,486,259
18,486,267
43,484,246
88,471,256
17,470,262
16,470,268
25,468,281
21,451,275
84,440,238
57,438,218
92,430,223
32,422,233
64,416,228
63,411,228
69,401,229
6,398,243
53,394,203
52,394,207
78,394,215
73,394,223
24,394,233
56,393,203
97,393,207
2,393,223
87,393,223
95,392,203
91,392,205
98,392,205
79,392,217
77,392,221
14,392,223
83,392,223
26,392,225
82,392,225
11,392,247
42,391,203
22,391,229
41,390,209
48,390,209
65,390,217
81,390,223
27,390,225
28,389,235
