Run Number, Maximum X, Frame Reached
0,5025,3308
10,5025,3381
20,5025,3484
30,5025,3534
40,5025,3653
50,5025,3681
60,5024,3206
70,5024,3320
80,4886,4997
90,4851,4997
84,4035,2181
74,2692,1675
33,2692,1704
26,2691,1494
45,2691,1527
9,2691,1581
44,2691,1662
13,2691,1866
55,2691,1950
64,2690,1433
23,2690,1495
51,2690,1537
7,2690,1598
6,2690,1612
53,2690,1798
93,2201,1200
41,2201,1445
56,2188,1571
88,2187,1566
24,1820,1100
15,1817,1049
12,1816,1008
19,1793,1108
42,1771,1077
29,1768,987
22,520,286
65,515,281
52,512,311
34,510,280
38,505,278
92,503,262
97,503,264
54,496,279
3,496,280
68,495,281
17,490,312
36,489,269
75,487,254
71,487,255
18,487,280
63,487,284
79,486,249
39,486,269
87,472,266
16,472,268
32,470,258
1,470,260
14,468,279
83,465,279
86,464,279
61,453,245
57,453,259
85,452,278
27,439,251
62,438,240
96,434,221
2,432,237
81,429,279
8,428,255
82,422,278
91,420,218
73,420,222
58,420,247
35,419,242
59,418,240
66,413,240
21,400,223
11,394,265
99,393,201
95,393,207
47,393,229
69,393,231
25,393,237
78,392,201
76,392,203
77,392,203
98,392,205
31,392,219
46,392,223
28,392,227
5,392,231
89,392,235
72,391,207
4,391,227
94,390,203
67,390,223
37,389,215
43,389,229
48,389,233
49,388,231
