Run Number, Maximum X, Frame Reached
57,5027,3299
0,5026,3618
10,5025,3087
20,5025,3258
30,5025,3308
40,5025,3381
50,5025,3484
60,5025,3534
70,5025,3560
80,5025,3653
90,5025,3677
97,4035,2463
53,2692,1574
12,2692,1658
47,2691,1434
38,2691,1523
55,2691,1602
68,2691,1627
52,2691,1647
78,2691,1751
76,2691,1755
63,2691,1772
92,2691,1865
65,2690,1613
35,2690,1635
3,2690,1720
5,2690,1752
79,2200,1233
42,2199,1146
58,2194,1460
59,2192,1198
26,2183,1424
51,1825,934
29,1821,1004
93,508,312
25,505,312
73,503,288
64,499,279
32,499,280
45,499,298
88,498,281
62,497,273
9,496,281
23,494,311
21,493,311
19,490,269
15,490,281
14,488,266
13,488,273
75,488,281
72,487,289
49,485,298
87,484,289
67,481,282
56,481,286
44,473,282
31,472,264
39,472,279
11,468,279
95,467,284
27,467,311
54,464,243
81,461,281
34,457,279
71,457,279
69,455,280
17,454,273
48,454,280
22,453,275
98,449,280
28,443,282
96,437,282
46,436,297
99,434,276
89,430,263
41,408,253
91,400,279
36,394,239
61,393,223
66,393,223
16,392,235
18,392,235
37,392,235
2,391,233
6,391,233
86,391,235
84,390,225
1,390,227
33,390,229
94,390,233
7,389,229
85,389,229
77,389,231
74,389,233
43,389,235
83,388,231
24,388,251
8,387,229
82,386,231
4,385,237
