Run Number, Maximum X, Frame Reached
92,5025,3308
0,5025,3484
10,5025,3534
20,5025,3653
30,5025,3681
40,5024,3206
50,5024,3320
60,4851,4997
70,4850,4998
71,4633,3635
80,4356,2426
90,4355,2706
88,4035,2481
97,4034,2321
77,3701,4999
68,3668,2177
58,3188,4999
99,2692,1502
43,2691,1415
75,2691,1447
23,2691,1496
78,2691,1497
1,2691,1531
32,2691,1542
3,2691,1628
76,2691,1645
82,2691,1660
44,2691,1752
48,2691,1777
96,2690,1550
69,2690,1552
25,2690,1558
11,2690,1580
26,2690,1591
89,2690,1668
72,2690,1669
19,2205,1534
55,2201,1039
5,2200,1119
9,2183,1228
66,1828,990
98,1824,961
87,1824,1308
12,1821,993
36,1758,899
8,1649,1048
37,519,311
45,513,298
63,506,258
62,502,260
31,502,280
16,497,279
39,489,279
13,489,286
18,488,265
59,487,245
86,487,261
33,484,286
35,482,282
15,475,260
17,473,266
27,469,267
14,468,264
29,466,264
83,457,241
34,455,277
42,454,239
41,445,244
79,438,219
73,438,221
49,438,253
65,437,221
67,436,223
53,433,221
38,433,266
47,424,245
85,419,228
84,417,228
57,415,224
64,414,218
51,406,215
56,393,209
91,393,221
93,393,225
6,393,233
81,392,221
95,392,223
94,392,225
46,392,229
7,392,239
2,391,211
54,390,201
52,390,203
74,390,203
61,390,205
4,390,219
24,390,241
21,389,229
28,389,235
22,385,227
