Run Number, Maximum X, Frame Reached
0,5025,3484
10,5025,3534
20,5025,3653
30,5024,3206
40,5024,3320
50,4851,4997
60,4850,4998
70,4356,2426
80,4355,2706
90,4355,2810
88,4036,2391
86,4036,2434
84,4036,2503
45,3527,4999
46,3515,4999
58,3514,4999
57,2692,1458
59,2692,4821
66,2691,1484
91,2691,1511
38,2691,1525
97,2691,1526
22,2691,1582
34,2691,1600
74,2691,1610
78,2691,1626
52,2690,1351
93,2690,1447
23,2690,1469
56,2690,1506
5,2690,1536
63,2690,1547
8,2690,1583
73,2690,1745
26,2203,1507
68,2201,1170
43,2200,1033
77,2196,1231
35,2195,1195
49,1822,871
21,1779,1172
36,1773,985
1,1767,1110
64,1686,920
61,1347,723
3,1317,793
37,519,281
48,517,273
7,514,286
24,509,312
98,508,277
13,502,272
31,502,281
17,501,270
92,501,281
39,496,281
51,495,252
47,489,258
16,489,268
15,489,269
18,485,267
83,472,262
41,470,242
12,458,265
4,456,243
67,438,219
65,437,218
71,433,229
75,431,229
55,427,221
33,425,233
96,425,233
11,423,259
89,422,233
79,418,228
76,413,230
2,407,227
94,394,219
87,394,221
82,394,227
54,393,207
72,393,219
85,393,227
6,393,233
53,392,201
69,392,201
42,392,205
62,392,205
9,392,215
95,392,221
81,392,231
44,391,207
19,391,217
32,391,221
99,391,221
14,391,223
25,391,229
28,390,223
29,390,229
27,389,225
